position,mlu,style,tempo,performer,division,division_follower,division_bigram,pattern,follower,bigram
1,lick,POSTBOP,MEDIUM,Freddie Hubbard,1,6,[1|6],1,11,[1|000011]
2,lick,POSTBOP,MEDIUM,Freddie Hubbard,6,2,[6|2],11,11,[000011|11]
3,lick,POSTBOP,MEDIUM,Freddie Hubbard,2,2,[2|2],11,11,[11|11]
4,lick,POSTBOP,MEDIUM,Freddie Hubbard,2,2,[2|2],11,11,[11|11]
5,lick,POSTBOP,MEDIUM,Freddie Hubbard,2,2,[2|2],11,11,[11|11]
6,lick,POSTBOP,MEDIUM,Freddie Hubbard,2,5,[2|5],11,11,[11|00011]
7,lick,POSTBOP,MEDIUM,Freddie Hubbard,5,1,[5|1],11,1,[00011|1]
8,lick,POSTBOP,MEDIUM,Freddie Hubbard,1,0,[1|0],1,0,[1|0]
1,lick,POSTBOP,MEDIUM,Freddie Hubbard,8,2,[8|2],100101,11,[00100101|11]
2,lick,POSTBOP,MEDIUM,Freddie Hubbard,2,2,[2|2],11,1,[11|01]
3,lick,POSTBOP,MEDIUM,Freddie Hubbard,2,3,[2|3],1,111,[01|111]
4,lick,POSTBOP,MEDIUM,Freddie Hubbard,3,0,[3|0],111,0,[111|0]
1,lick,POSTBOP,MEDIUM,Freddie Hubbard,6,3,[6|3],111,111,[000111|111]
2,lick,POSTBOP,MEDIUM,Freddie Hubbard,3,4,[3|4],111,11,[111|0011]
3,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,3,[4|3],11,111,[0011|111]
4,lick,POSTBOP,MEDIUM,Freddie Hubbard,3,3,[3|3],111,111,[111|111]
5,lick,POSTBOP,MEDIUM,Freddie Hubbard,3,0,[3|0],111,0,[111|0]
1,line,POSTBOP,MEDIUM,Freddie Hubbard,7,8,[7|8],1111111,11111100,[1111111|11111100]
2,line,POSTBOP,MEDIUM,Freddie Hubbard,8,0,[8|0],11111100,0,[11111100|0]
1,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,4,[4|4],111,1011,[0111|1011]
2,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,4,[4|4],1011,111,[1011|0111]
3,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,3,[4|3],111,111,[0111|111]
4,lick,POSTBOP,MEDIUM,Freddie Hubbard,3,3,[3|3],111,111,[111|111]
5,lick,POSTBOP,MEDIUM,Freddie Hubbard,3,4,[3|4],111,111,[111|0111]
6,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,3,[4|3],111,111,[0111|111]
7,lick,POSTBOP,MEDIUM,Freddie Hubbard,3,3,[3|3],111,111,[111|111]
8,lick,POSTBOP,MEDIUM,Freddie Hubbard,3,3,[3|3],111,11,[111|011]
9,lick,POSTBOP,MEDIUM,Freddie Hubbard,3,1,[3|1],11,1,[011|1]
10,lick,POSTBOP,MEDIUM,Freddie Hubbard,1,2,[1|2],1,11,[1|11]
11,lick,POSTBOP,MEDIUM,Freddie Hubbard,2,1,[2|1],11,1,[11|1]
12,lick,POSTBOP,MEDIUM,Freddie Hubbard,1,6,[1|6],1,11101,[1|011101]
13,lick,POSTBOP,MEDIUM,Freddie Hubbard,6,1,[6|1],11101,1,[011101|1]
14,lick,POSTBOP,MEDIUM,Freddie Hubbard,1,2,[1|2],1,1,[1|01]
15,lick,POSTBOP,MEDIUM,Freddie Hubbard,2,2,[2|2],1,11,[01|11]
16,lick,POSTBOP,MEDIUM,Freddie Hubbard,2,2,[2|2],11,1,[11|01]
17,lick,POSTBOP,MEDIUM,Freddie Hubbard,2,0,[2|0],1,0,[01|0]
1,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,6,2,[6|2],1,1,[000001|01]
2,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,2,1,[2|1],1,1,[01|1]
3,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,1,4,[1|4],1,1001,[1|1001]
4,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,4,2,[4|2],1001,1,[1001|01]
5,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,2,1,[2|1],1,1,[01|1]
6,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,1,1,[1|1],1,1,[1|1]
7,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,1,0,[1|0],1,0,[1|0]
1,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,4,1,[4|1],11,1,[0011|1]
2,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,1,6,[1|6],1,1,[1|000001]
3,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,6,4,[6|4],1,1110,[000001|1110]
4,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,4,6,[4|6],1110,1111,[1110|001111]
5,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,6,4,[6|4],1111,1001,[001111|1001]
6,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,4,6,[4|6],1001,100011,[1001|100011]
7,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,6,3,[6|3],100011,11,[100011|011]
8,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,3,3,[3|3],11,110,[011|110]
9,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,3,2,[3|2],110,11,[110|11]
10,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,2,0,[2|0],11,0,[11|0]
1,line,HARDBOP,MEDIUM UP,Freddie Hubbard,2,3,[2|3],1,110,[01|110]
2,line,HARDBOP,MEDIUM UP,Freddie Hubbard,3,2,[3|2],110,1,[110|01]
3,line,HARDBOP,MEDIUM UP,Freddie Hubbard,2,2,[2|2],1,11,[01|11]
4,line,HARDBOP,MEDIUM UP,Freddie Hubbard,2,2,[2|2],11,11,[11|11]
5,line,HARDBOP,MEDIUM UP,Freddie Hubbard,2,2,[2|2],11,11,[11|11]
6,line,HARDBOP,MEDIUM UP,Freddie Hubbard,2,2,[2|2],11,11,[11|11]
7,line,HARDBOP,MEDIUM UP,Freddie Hubbard,2,2,[2|2],11,1,[11|01]
8,line,HARDBOP,MEDIUM UP,Freddie Hubbard,2,4,[2|4],1,1,[01|0001]
9,line,HARDBOP,MEDIUM UP,Freddie Hubbard,4,3,[4|3],1,110,[0001|110]
10,line,HARDBOP,MEDIUM UP,Freddie Hubbard,3,2,[3|2],110,1,[110|01]
11,line,HARDBOP,MEDIUM UP,Freddie Hubbard,2,2,[2|2],1,11,[01|11]
12,line,HARDBOP,MEDIUM UP,Freddie Hubbard,2,1,[2|1],11,1,[11|1]
13,line,HARDBOP,MEDIUM UP,Freddie Hubbard,1,0,[1|0],1,0,[1|0]
1,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,4,2,[4|2],1,11,[0001|11]
2,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,2,2,[2|2],11,11,[11|11]
3,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,2,0,[2|0],11,0,[11|0]
1,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,4,2,[4|2],1,11,[0001|11]
2,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,2,2,[2|2],11,11,[11|11]
3,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,2,0,[2|0],11,0,[11|0]
1,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,2,4,[2|4],1,1011,[01|1011]
2,lick,HARDBOP,MEDIUM UP,Freddie Hubbard,4,0,[4|0],1011,0,[1011|0]
1,line,HARDBOP,MEDIUM UP,Freddie Hubbard,4,6,[4|6],1,10011,[0001|010011]
2,line,HARDBOP,MEDIUM UP,Freddie Hubbard,6,2,[6|2],10011,11,[010011|11]
3,line,HARDBOP,MEDIUM UP,Freddie Hubbard,2,2,[2|2],11,11,[11|11]
4,line,HARDBOP,MEDIUM UP,Freddie Hubbard,2,2,[2|2],11,11,[11|11]
5,line,HARDBOP,MEDIUM UP,Freddie Hubbard,2,2,[2|2],11,11,[11|11]
6,line,HARDBOP,MEDIUM UP,Freddie Hubbard,2,5,[2|5],11,1001,[11|01001]
7,line,HARDBOP,MEDIUM UP,Freddie Hubbard,5,2,[5|2],1001,11,[01001|11]
8,line,HARDBOP,MEDIUM UP,Freddie Hubbard,2,6,[2|6],11,1111,[11|001111]
9,line,HARDBOP,MEDIUM UP,Freddie Hubbard,6,2,[6|2],1111,11,[001111|11]
10,line,HARDBOP,MEDIUM UP,Freddie Hubbard,2,4,[2|4],11,111,[11|0111]
11,line,HARDBOP,MEDIUM UP,Freddie Hubbard,4,4,[4|4],111,1111,[0111|1111]
12,line,HARDBOP,MEDIUM UP,Freddie Hubbard,4,2,[4|2],1111,11,[1111|11]
13,line,HARDBOP,MEDIUM UP,Freddie Hubbard,2,2,[2|2],11,11,[11|11]
14,line,HARDBOP,MEDIUM UP,Freddie Hubbard,2,0,[2|0],11,0,[11|0]
1,line,HARDBOP,MEDIUM UP,Freddie Hubbard,2,6,[2|6],1,10001,[01|010001]
2,line,HARDBOP,MEDIUM UP,Freddie Hubbard,6,4,[6|4],10001,1,[010001|0001]
3,line,HARDBOP,MEDIUM UP,Freddie Hubbard,4,2,[4|2],1,11,[0001|11]
4,line,HARDBOP,MEDIUM UP,Freddie Hubbard,2,5,[2|5],11,1111,[11|01111]
5,line,HARDBOP,MEDIUM UP,Freddie Hubbard,5,1,[5|1],1111,1,[01111|1]
6,line,HARDBOP,MEDIUM UP,Freddie Hubbard,1,1,[1|1],1,1,[1|1]
7,line,HARDBOP,MEDIUM UP,Freddie Hubbard,1,1,[1|1],1,1,[1|1]
8,line,HARDBOP,MEDIUM UP,Freddie Hubbard,1,0,[1|0],1,0,[1|0]
1,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,4,[4|4],11,1011,[0011|1011]
2,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,4,[4|4],1011,1111,[1011|1111]
3,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,4,[4|4],1111,1111,[1111|1111]
4,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,2,[4|2],1111,11,[1111|11]
5,lick,POSTBOP,MEDIUM,Freddie Hubbard,2,2,[2|2],11,1,[11|01]
6,lick,POSTBOP,MEDIUM,Freddie Hubbard,2,4,[2|4],1,11,[01|0011]
7,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,6,[4|6],11,1111,[0011|001111]
8,lick,POSTBOP,MEDIUM,Freddie Hubbard,6,1,[6|1],1111,1,[001111|1]
9,lick,POSTBOP,MEDIUM,Freddie Hubbard,1,0,[1|0],1,0,[1|0]
1,lick,POSTBOP,MEDIUM,Freddie Hubbard,3,4,[3|4],11,1101,[011|1101]
2,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,2,[4|2],1101,11,[1101|11]
3,lick,POSTBOP,MEDIUM,Freddie Hubbard,2,1,[2|1],11,1,[11|1]
4,lick,POSTBOP,MEDIUM,Freddie Hubbard,1,2,[1|2],1,11,[1|11]
5,lick,POSTBOP,MEDIUM,Freddie Hubbard,2,2,[2|2],11,11,[11|11]
6,lick,POSTBOP,MEDIUM,Freddie Hubbard,2,4,[2|4],11,1101,[11|1101]
7,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,3,[4|3],1101,11,[1101|011]
8,lick,POSTBOP,MEDIUM,Freddie Hubbard,3,4,[3|4],11,1110,[011|1110]
9,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,4,[4|4],1110,1011,[1110|1011]
10,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,6,[4|6],1011,11001,[1011|011001]
11,lick,POSTBOP,MEDIUM,Freddie Hubbard,6,3,[6|3],11001,11,[011001|011]
12,lick,POSTBOP,MEDIUM,Freddie Hubbard,3,2,[3|2],11,11,[011|11]
13,lick,POSTBOP,MEDIUM,Freddie Hubbard,2,6,[2|6],11,111101,[11|111101]
14,lick,POSTBOP,MEDIUM,Freddie Hubbard,6,4,[6|4],111101,1111,[111101|1111]
15,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,4,[4|4],1111,1111,[1111|1111]
16,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,4,[4|4],1111,1111,[1111|1111]
17,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,4,[4|4],1111,1111,[1111|1111]
18,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,4,[4|4],1111,1111,[1111|1111]
19,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,6,[4|6],1111,111011,[1111|111011]
20,lick,POSTBOP,MEDIUM,Freddie Hubbard,6,8,[6|8],111011,11010111,[111011|11010111]
21,lick,POSTBOP,MEDIUM,Freddie Hubbard,8,5,[8|5],11010111,111,[11010111|00111]
22,lick,POSTBOP,MEDIUM,Freddie Hubbard,5,6,[5|6],111,111011,[00111|111011]
23,lick,POSTBOP,MEDIUM,Freddie Hubbard,6,4,[6|4],111011,1111,[111011|1111]
24,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,8,[4|8],1111,10110111,[1111|10110111]
25,lick,POSTBOP,MEDIUM,Freddie Hubbard,8,8,[8|8],10110111,1011111,[10110111|01011111]
26,lick,POSTBOP,MEDIUM,Freddie Hubbard,8,7,[8|7],1011111,1111111,[01011111|1111111]
27,lick,POSTBOP,MEDIUM,Freddie Hubbard,7,4,[7|4],1111111,1110,[1111111|1110]
28,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,0,[4|0],1110,0,[1110|0]
1,line,POSTBOP,MEDIUM,Freddie Hubbard,7,4,[7|4],111111,1111,[0111111|1111]
2,line,POSTBOP,MEDIUM,Freddie Hubbard,4,4,[4|4],1111,1111,[1111|1111]
3,line,POSTBOP,MEDIUM,Freddie Hubbard,4,4,[4|4],1111,1111,[1111|1111]
4,line,POSTBOP,MEDIUM,Freddie Hubbard,4,2,[4|2],1111,11,[1111|11]
5,line,POSTBOP,MEDIUM,Freddie Hubbard,2,5,[2|5],11,1111,[11|01111]
6,line,POSTBOP,MEDIUM,Freddie Hubbard,5,4,[5|4],1111,1111,[01111|1111]
7,line,POSTBOP,MEDIUM,Freddie Hubbard,4,4,[4|4],1111,1111,[1111|1111]
8,line,POSTBOP,MEDIUM,Freddie Hubbard,4,2,[4|2],1111,11,[1111|11]
9,line,POSTBOP,MEDIUM,Freddie Hubbard,2,3,[2|3],11,111,[11|111]
10,line,POSTBOP,MEDIUM,Freddie Hubbard,3,2,[3|2],111,1,[111|01]
11,line,POSTBOP,MEDIUM,Freddie Hubbard,2,2,[2|2],1,11,[01|11]
12,line,POSTBOP,MEDIUM,Freddie Hubbard,2,2,[2|2],11,11,[11|11]
13,line,POSTBOP,MEDIUM,Freddie Hubbard,2,0,[2|0],11,0,[11|0]
1,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,4,[4|4],11,1001,[0011|1001]
2,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,4,[4|4],1001,1111,[1001|1111]
3,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,1,[4|1],1111,1,[1111|1]
4,lick,POSTBOP,MEDIUM,Freddie Hubbard,1,0,[1|0],1,0,[1|0]
1,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,4,[4|4],1111,1111,[1111|1111]
2,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,8,[4|8],1111,1111,[1111|00001111]
3,lick,POSTBOP,MEDIUM,Freddie Hubbard,8,6,[8|6],1111,11111,[00001111|011111]
4,lick,POSTBOP,MEDIUM,Freddie Hubbard,6,4,[6|4],11111,1111,[011111|1111]
5,lick,POSTBOP,MEDIUM,Freddie Hubbard,4,8,[4|8],1111,11100011,[1111|11100011]
6,lick,POSTBOP,MEDIUM,Freddie Hubbard,8,6,[8|6],11100011,11111,[11100011|011111]
7,lick,POSTBOP,MEDIUM,Freddie Hubbard,6,6,[6|6],11111,111111,[011111|111111]
8,lick,POSTBOP,MEDIUM,Freddie Hubbard,6,8,[6|8],111111,11111111,[111111|11111111]
9,lick,POSTBOP,MEDIUM,Freddie Hubbard,8,6,[8|6],11111111,11111,[11111111|011111]
10,lick,POSTBOP,MEDIUM,Freddie Hubbard,6,6,[6|6],11111,111111,[011111|111111]
11,lick,POSTBOP,MEDIUM,Freddie Hubbard,6,7,[6|7],111111,1111111,[111111|1111111]
12,lick,POSTBOP,MEDIUM,Freddie Hubbard,7,8,[7|8],1111111,11111111,[1111111|11111111]
13,lick,POSTBOP,MEDIUM,Freddie Hubbard,8,8,[8|8],11111111,11111110,[11111111|11111110]
14,lick,POSTBOP,MEDIUM,Freddie Hubbard,8,8,[8|8],11111110,11011111,[11111110|11011111]
15,lick,POSTBOP,MEDIUM,Freddie Hubbard,8,9,[8|9],11011111,101111111,[11011111|101111111]
16,lick,POSTBOP,MEDIUM,Freddie Hubbard,9,6,[9|6],101111111,111111,[101111111|111111]
17,lick,POSTBOP,MEDIUM,Freddie Hubbard,6,8,[6|8],111111,11111011,[111111|11111011]
18,lick,POSTBOP,MEDIUM,Freddie Hubbard,8,8,[8|8],11111011,11111101,[11111011|11111101]
19,lick,POSTBOP,MEDIUM,Freddie Hubbard,8,10,[8|10],11111101,1110101111,[11111101|1110101111]
20,lick,POSTBOP,MEDIUM,Freddie Hubbard,10,6,[10|6],1110101111,111110,[1110101111|111110]
21,lick,POSTBOP,MEDIUM,Freddie Hubbard,6,0,[6|0],111110,0,[111110|0]
1,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,2,[4|2],1,11,[0001|11]
2,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,1,[2|1],11,1,[11|1]
3,lick,HARDBOP,MEDIUM,Freddie Hubbard,1,1,[1|1],1,1,[1|1]
4,lick,HARDBOP,MEDIUM,Freddie Hubbard,1,1,[1|1],1,1,[1|1]
5,lick,HARDBOP,MEDIUM,Freddie Hubbard,1,3,[1|3],1,111,[1|111]
6,lick,HARDBOP,MEDIUM,Freddie Hubbard,3,4,[3|4],111,1001,[111|1001]
7,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,0,[4|0],1001,0,[1001|0]
1,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,2,[2|2],1,11,[01|11]
2,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,4,[2|4],11,1,[11|0001]
3,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,2,[4|2],1,11,[0001|11]
4,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,4,[2|4],11,1,[11|0001]
5,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,2,[4|2],1,11,[0001|11]
6,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,0,[2|0],11,0,[11|0]
1,lick,HARDBOP,MEDIUM,Freddie Hubbard,1,4,[1|4],1,1,[1|0001]
2,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,4,[4|4],1,1001,[0001|1001]
3,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,2,[4|2],1001,11,[1001|11]
4,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,0,[2|0],11,0,[11|0]
1,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,3,[4|3],11,111,[0011|111]
2,lick,HARDBOP,MEDIUM,Freddie Hubbard,3,3,[3|3],111,111,[111|111]
3,lick,HARDBOP,MEDIUM,Freddie Hubbard,3,2,[3|2],111,11,[111|11]
4,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,0,[2|0],11,0,[11|0]
1,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,3,[4|3],11,111,[0011|111]
2,lick,HARDBOP,MEDIUM,Freddie Hubbard,3,4,[3|4],111,111,[111|0111]
3,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,3,[4|3],111,111,[0111|111]
4,lick,HARDBOP,MEDIUM,Freddie Hubbard,3,2,[3|2],111,11,[111|11]
5,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,1,[2|1],11,1,[11|1]
6,lick,HARDBOP,MEDIUM,Freddie Hubbard,1,0,[1|0],1,0,[1|0]
1,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,8,[2|8],1,11,[01|00000011]
2,lick,HARDBOP,MEDIUM,Freddie Hubbard,8,6,[8|6],11,10001,[00000011|010001]
3,lick,HARDBOP,MEDIUM,Freddie Hubbard,6,1,[6|1],10001,1,[010001|1]
4,lick,HARDBOP,MEDIUM,Freddie Hubbard,1,1,[1|1],1,1,[1|1]
5,lick,HARDBOP,MEDIUM,Freddie Hubbard,1,1,[1|1],1,1,[1|1]
6,lick,HARDBOP,MEDIUM,Freddie Hubbard,1,4,[1|4],1,111,[1|0111]
7,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,1,[4|1],111,1,[0111|1]
8,lick,HARDBOP,MEDIUM,Freddie Hubbard,1,2,[1|2],1,11,[1|11]
9,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,4,[2|4],11,111,[11|0111]
10,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,2,[4|2],111,11,[0111|11]
11,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,4,[2|4],11,1001,[11|1001]
12,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,1,[4|1],1001,1,[1001|1]
13,lick,HARDBOP,MEDIUM,Freddie Hubbard,1,1,[1|1],1,1,[1|1]
14,lick,HARDBOP,MEDIUM,Freddie Hubbard,1,0,[1|0],1,0,[1|0]
1,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,2,[2|2],1,1,[01|01]
2,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,4,[2|4],1,1,[01|0001]
3,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,3,[4|3],1,111,[0001|111]
4,lick,HARDBOP,MEDIUM,Freddie Hubbard,3,3,[3|3],111,111,[111|111]
5,lick,HARDBOP,MEDIUM,Freddie Hubbard,3,3,[3|3],111,111,[111|111]
6,lick,HARDBOP,MEDIUM,Freddie Hubbard,3,3,[3|3],111,111,[111|111]
7,lick,HARDBOP,MEDIUM,Freddie Hubbard,3,2,[3|2],111,11,[111|11]
8,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,0,[2|0],11,0,[11|0]
1,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,2,[4|2],1,1,[0001|01]
2,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,2,[2|2],1,11,[01|11]
3,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,3,[2|3],11,111,[11|111]
4,lick,HARDBOP,MEDIUM,Freddie Hubbard,3,3,[3|3],111,111,[111|111]
5,lick,HARDBOP,MEDIUM,Freddie Hubbard,3,3,[3|3],111,111,[111|111]
6,lick,HARDBOP,MEDIUM,Freddie Hubbard,3,8,[3|8],111,100001,[111|00100001]
7,lick,HARDBOP,MEDIUM,Freddie Hubbard,8,0,[8|0],100001,0,[00100001|0]
1,lick,HARDBOP,MEDIUM,Freddie Hubbard,8,4,[8|4],11,1,[00000011|0001]
2,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,2,[4|2],1,11,[0001|11]
3,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,2,[2|2],11,1,[11|01]
4,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,2,[2|2],1,1,[01|01]
5,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,0,[2|0],1,0,[01|0]
1,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,2,[4|2],11,1,[0011|01]
2,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,8,[2|8],1,1010101,[01|01010101]
3,lick,HARDBOP,MEDIUM,Freddie Hubbard,8,2,[8|2],1010101,1,[01010101|01]
4,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,0,[2|0],1,0,[01|0]
1,lick,HARDBOP,MEDIUM,Freddie Hubbard,3,2,[3|2],11,11,[011|11]
2,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,4,[2|4],11,1111,[11|1111]
3,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,2,[4|2],1111,1,[1111|01]
4,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,0,[2|0],1,0,[01|0]
1,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,2,[4|2],110,11,[0110|11]
2,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,4,[2|4],11,1111,[11|1111]
3,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,2,[4|2],1111,1,[1111|01]
4,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,0,[2|0],1,0,[01|0]
1,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,2,[4|2],110,11,[0110|11]
2,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,4,[2|4],11,1111,[11|1111]
3,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,2,[4|2],1111,1,[1111|01]
4,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,0,[2|0],1,0,[01|0]
1,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,3,[2|3],1,111,[01|111]
2,lick,HARDBOP,MEDIUM,Freddie Hubbard,3,4,[3|4],111,1111,[111|1111]
3,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,1,[4|1],1111,1,[1111|1]
4,lick,HARDBOP,MEDIUM,Freddie Hubbard,1,0,[1|0],1,0,[1|0]
1,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,4,[4|4],110,1111,[0110|1111]
2,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,4,[4|4],1111,1111,[1111|1111]
3,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,1,[4|1],1111,1,[1111|1]
4,lick,HARDBOP,MEDIUM,Freddie Hubbard,1,0,[1|0],1,0,[1|0]
1,line,HARDBOP,MEDIUM,Freddie Hubbard,3,4,[3|4],11,1110,[011|1110]
2,line,HARDBOP,MEDIUM,Freddie Hubbard,4,4,[4|4],1110,1111,[1110|1111]
3,line,HARDBOP,MEDIUM,Freddie Hubbard,4,6,[4|6],1111,11110,[1111|011110]
4,line,HARDBOP,MEDIUM,Freddie Hubbard,6,6,[6|6],11110,111,[011110|000111]
5,line,HARDBOP,MEDIUM,Freddie Hubbard,6,6,[6|6],111,111110,[000111|111110]
6,line,HARDBOP,MEDIUM,Freddie Hubbard,6,4,[6|4],111110,1111,[111110|1111]
7,line,HARDBOP,MEDIUM,Freddie Hubbard,4,5,[4|5],1111,11111,[1111|11111]
8,line,HARDBOP,MEDIUM,Freddie Hubbard,5,0,[5|0],11111,0,[11111|0]
1,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,4,[4|4],111,1111,[0111|1111]
2,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,6,[4|6],1111,11011,[1111|011011]
3,lick,HARDBOP,MEDIUM,Freddie Hubbard,6,1,[6|1],11011,1,[011011|1]
4,lick,HARDBOP,MEDIUM,Freddie Hubbard,1,4,[1|4],1,111,[1|0111]
5,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,0,[4|0],111,0,[0111|0]
1,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,2,[4|2],1,11,[0001|11]
2,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,4,[2|4],11,1,[11|0001]
3,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,6,[4|6],1,1001,[0001|001001]
4,lick,HARDBOP,MEDIUM,Freddie Hubbard,6,4,[6|4],1001,1,[001001|0001]
5,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,6,[4|6],1,1001,[0001|001001]
6,lick,HARDBOP,MEDIUM,Freddie Hubbard,6,4,[6|4],1001,1,[001001|0001]
7,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,2,[4|2],1,11,[0001|11]
8,lick,HARDBOP,MEDIUM,Freddie Hubbard,2,0,[2|0],11,0,[11|0]
1,lick,HARDBOP,MEDIUM,Freddie Hubbard,4,2,[4|2],1,11,[0001|11]
