id;mlu;style;tempo;performer;feel;barsspan;startbar;startbeat;endbar;endbeat;notes;length;divisions;subrhythm
1372;lick;-;MEDIUM SLOW;Steve Coleman;-;-;-;-;-;-;12;4;2,4,3,4;11,0111,111,1111
1373;lick;-;MEDIUM;Phil Woods;-;-;-;-;-;-;10;5;2,1,4,2,2;01,1,1111,11,11
1374;line;-;MEDIUM SLOW;Steve Coleman;-;-;-;-;-;-;34;11;1,4,4,4,6,2,4,4,4,4,4;1,0111,1111,1111,111101,11,0111,1111,0110,0110,1111
1375;lick;-;MEDIUM;Miles Davis;-;-;-;-;-;-;8;5;2,2,4,4,1;11,11,0001,1001,1
1376;lick;-;MEDIUM;Steve Coleman;-;-;-;-;-;-;5;2;1,1,4;1,0,1111
1377;lick;-;UP;David Liebman;-;-;-;-;-;-;6;4;1,2,2,4;1,01,11,0011
1378;lick;-;UP;Michael Brecker;-;-;-;-;-;-;27;19;1,4,2,1,2,4,2,4,4,2,2,1,1,4,2,1,1,1,1;1,0001,11,1,11,1001,11,0001,1001,11,01,1,1,1011,01,1,1,1,1
1379;line;-;UP;John Coltrane;-;-;-;-;-;-;58;29;3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,4,1,3,3,2,2,4,2,4,2,2,2;110,11,11,11,11,11,11,11,11,11,11,11,11,1,11,1,11,1101,1,111,111,11,11,0001,11,1011,11,11,11
1380;line;-;UP;Wayne Shorter;-;-;-;-;-;-;14;7;2,2,4,3,2,3,2;11,11,1001,011,11,011,11
1381;lick;-;MEDIUM SLOW;Steve Coleman;-;-;-;-;-;-;13;3;4,4,6;1111,1111,111011
1382;line;-;UP;Sonny Rollins;-;-;-;-;-;-;10;8;2,1,1,2,2,2,2,2;11,1,1,11,01,01,01,01
1383;lick;-;MEDIUM UP;Steve Lacy;-;-;-;-;-;-;14;6;2,5,2,2,2,2;11,01111,11,11,11,11
1384;line;-;UP;Joe Lovano;-;-;-;-;-;-;30;14;1,4,4,4,4,3,2,3,4,4,2,4,2,2;1,0001,0011,1111,1011,011,11,011,1011,1001,11,1101,11,01
1385;line;-;MEDIUM;John Coltrane;-;-;-;-;-;-;7;2;4,6;0111,010111
1386;lick;-;MEDIUM;Gerry Mulligan;-;-;-;-;-;-;12;7;1,2,1,2,3,2,2;1,11,1,11,011,11,11
1387;line;-;MEDIUM UP;Freddie Hubbard;-;-;-;-;-;-;14;8;6,2,1,2,3,2,2,2;010001,11,1,11,110,11,11,01
1388;lick;-;MEDIUM UP;John Coltrane;-;-;-;-;-;-;6;4;2,2,4,1;11,11,0001,1
1389;lick;-;MEDIUM;Curtis Fuller;-;-;-;-;-;-;7;5;1,4,1,1,4;1,0001,1,1,0111
1390;lick;-;UP;Michael Brecker;-;-;-;-;-;-;10;7;2,2,2,2,2,2,3;11,01,01,01,01,01,111
1391;lick;-;MEDIUM UP;Clifford Brown;-;-;-;-;-;-;9;6;2,2,4,4,2,4;01,11,0001,0011,11,0001
1392;lick;-;MEDIUM UP;Don Ellis;-;-;-;-;-;-;18;8;5,3,3,3,3,4,1,4;01111,110,111,110,110,1100,1,1001
1393;line;-;UP;Clifford Brown;-;-;-;-;-;-;9;6;2,2,2,2,1,1;11,11,01,11,1,1
1394;line;-;UP;Stan Getz;-;-;-;-;-;-;26;16;2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2;11,11,11,11,11,11,11,01,11,11,1,1,1,1,11,01
1395;lick;-;UP;Chris Potter;-;-;-;-;-;-;14;9;1,4,4,1,1,2,2,3,2;1,1100,1001,1,1,11,01,011,11
1396;line;-;UP;John Coltrane;-;-;-;-;-;-;22;12;1,2,3,2,1,4,2,1,4,2,4,2;1,11,111,01,1,0110,01,1,1011,11,1101,11
1397;line;-;UP;J.J. Johnson;-;-;-;-;-;-;22;14;1,2,1,2,2,2,1,2,4,5,2,2,2,4;1,11,1,11,01,11,1,11,0001,01101,01,01,11,0011
1398;lick;-;UP;Michael Brecker;-;-;-;-;-;-;25;15;2,2,2,4,4,2,2,1,4,3,3,3,3,2,1;11,11,11,0011,0001,11,01,1,0001,011,111,011,011,01,1
1399;lick;-;UP;Michael Brecker;-;-;-;-;-;-;24;13;2,4,2,2,2,2,1,4,2,2,2,1,4;11,0001,01,11,11,11,1,0111,11,11,11,1,1101
1400;lick;-;MEDIUM;Pat Metheny;-;-;-;-;-;-;10;3;6,4,6;100111,0111,010011
1401;lick;-;MEDIUM UP;Milt Jackson;-;-;-;-;-;-;117;61;2,2,2,2,2,2,4,4,2,2,2,2,2,2,3,2,1,1,2,2,3,4,4,2,2,1,1,2,2,2,2,2,3,2,1,2,2,2,2,2,2,1,2,3,1,2,1,2,2,2,2,3,2,2,2,2,2,2,2,1,4;11,11,11,11,11,11,1011,0111,11,11,11,11,01,11,111,11,1,1,11,11,111,1111,0011,01,11,1,1,11,11,11,11,11,111,01,1,11,11,11,11,11,11,1,11,111,1,11,1,11,11,11,01,111,11,11,11,11,11,01,11,1,1001
1402;lick;-;UP;Don Byas;-;-;-;-;-;-;11;7;2,1,4,1,3,2,2;11,1,1011,1,011,01,01
1403;line;-;MEDIUM UP;Art Pepper;-;-;-;-;-;-;9;3;1,4,4;1,1111,1111
1404;line;-;UP;David Liebman;-;-;-;-;-;-;89;45;2,1,2,2,2,1,4,3,2,2,1,2,2,4,4,2,2,2,2,2,2,4,2,4,3,2,2,2,2,2,2,1,5,5,3,4,3,3,4,2,2,2,4,1,1;01,1,11,11,11,1,1011,011,01,11,1,01,11,1001,1110,11,11,11,11,11,11,0001,01,1111,111,11,11,01,11,11,01,1,10111,01111,011,1011,011,111,0001,11,11,11,1111,1,1
1405;line;-;UP;Steve Lacy;-;-;-;-;-;-;11;5;2,3,1,2,4;11,111,1,11,1011
1406;lick;-;UP;Paul Desmond;-;-;-;-;-;-;13;8;3,2,2,4,2,1,3,2;011,01,01,0001,11,1,111,11
1407;line;-;MEDIUM UP;Wayne Shorter;-;-;-;-;-;-;19;6;5,10,4,4,2,2;10111,0101001011,1100,1111,11,11
1408;lick;-;UP;John Coltrane;-;-;-;-;-;-;3;2;3,1;011,1
1409;lick;-;MEDIUM;George Coleman;-;-;-;-;-;-;20;6;6,1,7,1,7,1;000111,1,1111111,1,1111111,1
1410;lick;-;UP;Charlie Parker;-;-;-;-;-;-;12;5;2,4,4,2,2;11,1011,1110,11,11
1411;line;-;UP;Sonny Rollins;-;-;-;-;-;-;25;15;2,2,2,2,2,1,2,2,2,2,2,1,1,2,2;11,11,11,11,11,1,11,01,11,01,11,1,1,11,11
1412;lick;-;UP;Kai Winding;-;-;-;-;-;-;7;5;2,2,2,1,1;11,01,11,1,1
1413;line;-;UP;Sonny Stitt;-;-;-;-;-;-;20;11;2,2,6,4,2,2,4,2,2,1,4;11,11,000011,1001,11,11,0001,11,11,1,1100
1414;lick;-;MEDIUM UP;Miles Davis;-;-;-;-;-;-;4;2;2,2;11,11
1415;line;-;UP;John Coltrane;-;-;-;-;-;-;59;28;5,2,2,3,2,2,2,2,2,2,1,3,2,2,1,6,1,6,3,3,3,3,4,1,4,4,2,2;10111,11,11,111,11,11,11,11,11,11,1,111,01,01,1,101011,1,100001,011,011,111,011,1111,1,1011,0011,01,11
1416;lick;-;MEDIUM;Joe Henderson;-;-;-;-;-;-;11;5;6,3,6,6,2;011101,011,000001,001101,01
1417;lick;-;MEDIUM UP;Art Pepper;-;-;-;-;-;-;8;4;1,4,2,2;1,1110,11,11
1418;line;-;UP;Herbie Hancock;-;-;-;-;-;-;10;6;2,2,2,2,2,2;11,11,01,11,11,01
1419;lick;-;UP;John Coltrane;-;-;-;-;-;-;8;6;4,2,1,4,3,4;0001,01,1,0001,011,0110
1420;line;-;MEDIUM;Dexter Gordon;-;-;-;-;-;-;16;6;6,6,4,2,2,2;010011,011011,1011,11,11,11
1421;lick;-;MEDIUM;Branford Marsalis;-;-;-;-;-;-;18;11;4,4,2,2,2,1,1,1,1,2,2;1101,1001,11,11,11,1,1,1,1,01,11
1422;line;-;MEDIUM UP;Milt Jackson;-;-;-;-;-;-;36;18;1,3,2,2,2,3,2,2,1,2,2,4,2,3,2,2,2,2;1,111,11,11,11,111,11,01,1,01,11,1110,11,111,11,11,11,11
1423;line;-;UP;J.J. Johnson;-;-;-;-;-;-;17;12;2,2,1,1,2,2,2,2,1,4,5,2;01,01,1,1,11,11,01,11,1,0001,01101,01
1424;lick;-;UP;John Coltrane;-;-;-;-;-;-;7;5;1,2,2,4,4;1,11,11,0001,0001
1425;lick;-;MEDIUM UP;Bob Berg;-;-;-;-;-;-;10;3;2,4,6;11,1111,001111
1426;lick;-;MEDIUM;Branford Marsalis;-;-;-;-;-;-;6;3;4,4,4;0111,1001,0001
1427;lick;-;MEDIUM UP;Don Ellis;-;-;-;-;-;-;21;13;4,2,2,1,2,2,2,2,2,1,4,4,3;0001,11,11,1,01,11,11,01,11,1,1100,0001,111
1428;line;-;UP;Steve Coleman;-;-;-;-;-;-;12;6;3,2,2,1,2,2;111,11,11,1,11,11
1429;lick;-;MEDIUM;Clifford Brown;-;-;-;-;-;-;20;8;2,2,2,3,4,4,3,4;11,11,01,111,1111,1111,111,0001
1430;lick;-;MEDIUM;Dexter Gordon;-;-;-;-;-;-;18;10;4,1,2,1,4,1,2,2,4,3;0111,1,11,1,1011,1,01,01,1100,111
1431;line;-;UP;Branford Marsalis;-;-;-;-;-;-;28;17;2,2,2,4,2,2,2,1,1,2,1,4,2,4,2,2,2;01,01,11,1001,11,11,01,1,1,01,1,1011,11,1001,11,11,11
1432;lick;-;MEDIUM;Freddie Hubbard;-;-;-;-;-;-;25;13;4,4,2,2,8,6,1,4,2,1,4,1,1;0001,1001,11,01,01010101,011111,1,0001,11,1,0111,1,1
1433;lick;-;MEDIUM UP;Freddie Hubbard;-;-;-;-;-;-;3;3;2,1,1;01,1,1
1434;lick;-;MEDIUM UP;Paul Desmond;-;-;-;-;-;-;7;5;2,2,1,2,1;11,01,1,11,1
1435;line;-;MEDIUM UP;Miles Davis;-;-;-;-;-;-;9;6;4,2,5,1,1,1;0001,11,01011,1,1,1
1436;line;-;UP;David Liebman;-;-;-;-;-;-;27;12;2,2,2,3,4,5,2,2,2,4,3,6;01,11,11,111,1101,10111,01,01,01,1101,011,101011
1437;lick;-;MEDIUM;Lee Konitz;-;-;-;-;-;-;10;4;4,4,2,2;1011,1011,11,11
1438;lick;-;MEDIUM UP;Cannonball Adderley;-;-;-;-;-;-;5;3;3,1,2;110,1,11
1439;line;-;UP;David Liebman;-;-;-;-;-;-;16;9;2,1,4,2,2,2,2,2,2;11,1,1011,11,01,01,11,11,11
1440;lick;-;MEDIUM UP;Clifford Brown;-;-;-;-;-;-;7;4;2,2,4,2;11,01,0011,11
1441;line;-;UP;Lee Konitz;-;-;-;-;-;-;30;16;2,2,4,1,2,2,2,1,2,2,2,2,2,2,2,4;11,11,1011,1,01,11,11,1,11,11,11,11,11,11,01,1101
1442;line;-;UP;Michael Brecker;-;-;-;-;-;-;53;27;3,5,4,4,2,1,2,1,1,2,2,2,1,2,1,1,4,2,1,2,2,2,2,4,4,4,6;111,10111,0011,1101,11,1,11,1,1,01,11,01,1,11,1,1,0011,11,1,11,01,01,11,1111,0111,1100,111101
1443;line;-;UP;John Coltrane;-;-;-;-;-;-;18;11;1,2,3,2,1,1,2,2,1,2,2;1,11,111,01,1,1,11,11,1,11,11
1444;line;-;MEDIUM SLOW;Michael Brecker;-;-;-;-;-;-;29;8;7,8,6,1,4,6,1,4;1111111,10101011,011100,1,1110,110111,1,1111
1445;line;-;UP;Michael Brecker;-;-;-;-;-;-;44;23;1,2,4,4,2,2,4,4,2,2,2,2,2,2,4,4,2,2,1,2,2,2,2;1,11,1100,0001,11,11,0111,0001,11,11,01,11,11,11,1111,1111,11,11,1,01,11,01,11
1446;line;-;MEDIUM SLOW;Joe Lovano;-;-;-;-;-;-;11;2;6,10;111111,0010011011
1447;line;-;UP;John Coltrane;-;-;-;-;-;-;5;3;2,2,1;11,11,1
1448;lick;-;MEDIUM UP;Art Pepper;-;-;-;-;-;-;3;2;4,2;0001,11
1449;line;-;UP;Miles Davis;-;-;-;-;-;-;21;12;2,3,2,4,3,1,2,2,2,1,1,2;11,011,11,1011,111,1,01,11,01,1,1,11
1450;lick;-;MEDIUM UP;Paul Desmond;-;-;-;-;-;-;17;12;2,1,2,2,1,1,4,6,2,2,1,1;11,1,11,01,1,1,0001,010001,11,11,1,1
1451;line;-;UP;Wayne Shorter;-;-;-;-;-;-;40;22;2,3,2,2,2,2,2,1,2,2,2,2,2,2,1,4,2,2,1,1,2,4;11,011,11,11,11,11,11,1,11,11,11,11,11,01,1,1011,01,11,1,1,11,1011
1452;lick;-;MEDIUM UP;Wayne Shorter;-;-;-;-;-;-;4;2;6,2;100011,01
1453;lick;-;MEDIUM;Steve Lacy;-;-;-;-;-;-;6;4;6,2,2,1;001001,01,11,1
1454;lick;-;UP;Joe Lovano;-;-;-;-;-;-;17;12;2,2,2,2,1,1,1,1,1,1,2,3;01,11,11,11,1,1,1,1,1,1,11,011
1455;line;-;UP;Chris Potter;-;-;-;-;-;-;42;20;2,5,2,3,2,2,2,2,2,2,1,1,2,2,4,3,3,2,2,2;11,01111,11,111,11,11,11,11,11,11,1,1,11,01,1110,111,011,11,11,11
1456;lick;-;MEDIUM;Wayne Shorter;-;-;-;-;-;-;10;6;2,4,1,2,1,2;01,0111,1,11,1,11
1457;line;-;UP;Herbie Hancock;-;-;-;-;-;-;16;8;2,2,2,2,2,2,2,2;11,11,11,11,11,11,11,11
1458;lick;-;UP;Steve Turre;-;-;-;-;-;-;7;5;2,2,1,2,2;01,11,1,01,11
1459;line;-;MEDIUM SLOW;Dexter Gordon;-;-;-;-;-;-;33;9;3,6,6,6,6,4,6,1,1,4;111,101101,010011,010111,111111,1111,011101,1,0,1111
1460;lick;-;MEDIUM UP;Joe Henderson;-;-;-;-;-;-;2;2;2,1;01,1
1461;lick;-;MEDIUM;Dexter Gordon;-;-;-;-;-;-;8;5;2,2,1,2,4;01,11,1,11,1001
1462;lick;-;UP;John Coltrane;-;-;-;-;-;-;14;9;2,1,2,6,2,2,4,2,1;11,1,01,100011,01,11,0001,11,1
1463;line;-;MEDIUM;Bob Berg;-;-;-;-;-;-;32;9;7,6,10,1,2,4,4,4,6;1001011,101111,1010011011,1,01,1111,1111,1111,000111
1464;lick;-;MEDIUM;Clifford Brown;-;-;-;-;-;-;6;2;3,4;111,1011
1465;line;-;MEDIUM;John Coltrane;-;-;-;-;-;-;13;3;4,5,4;1111,11111,1111
1466;line;-;MEDIUM SLOW;Hank Mobley;-;-;-;-;-;-;33;10;5,4,6,4,6,5,4,3,4,1;10111,1111,000011,1111,110111,10111,1111,011,1110,1
1467;lick;-;UP;Steve Coleman;-;-;-;-;-;-;19;9;2,6,4,4,2,2,2,2,2;11,001001,1110,1111,01,11,11,01,11
1468;line;-;MEDIUM;Milt Jackson;-;-;-;-;-;-;27;12;2,2,3,1,4,2,2,2,2,2,4,4;11,11,111,1,1111,11,11,11,11,01,0111,1110
1469;line;-;UP;Joe Henderson;-;-;-;-;-;-;24;12;4,4,4,2,2,2,2,2,2,2,2,2;1001,1001,1011,11,11,11,11,11,11,11,01,11
1470;line;-;UP;Herbie Hancock;-;-;-;-;-;-;15;7;2,4,2,2,2,2,2;11,1011,11,11,11,11,11
1471;line;-;UP;Steve Turre;-;-;-;-;-;-;9;7;2,2,2,2,2,2,2;01,11,01,01,01,11,01
1472;lick;-;MEDIUM UP;Wayne Shorter;-;-;-;-;-;-;5;3;1,2,3;1,11,011
1473;lick;-;UP;Gerry Mulligan;-;-;-;-;-;-;19;11;2,2,2,1,2,2,1,2,2,4,1;11,11,11,1,11,11,1,11,11,1001,1
1474;lick;-;UP;John Coltrane;-;-;-;-;-;-;4;3;4,2,2;0001,11,01
1475;lick;-;MEDIUM UP;Woody Shaw;-;-;-;-;-;-;26;8;2,6,4,4,4,4,4,2;11,111101,1111,1100,1111,0111,1111,11
1476;line;-;UP;Phil Woods;-;-;-;-;-;-;22;13;2,2,2,2,2,1,2,2,2,1,2,2,2;11,11,11,01,11,1,11,11,11,1,11,11,01
1477;line;-;UP;Art Pepper;-;-;-;-;-;-;10;8;1,1,1,1,2,2,4,2;1,1,1,1,11,01,0001,11
1478;lick;-;MEDIUM SLOW;Hank Mobley;-;-;-;-;-;-;13;5;4,2,3,3,4;0111,11,011,011,1111
1479;lick;-;MEDIUM;Branford Marsalis;-;-;-;-;-;-;12;8;2,1,1,2,4,4,1,4;11,1,1,11,0001,1110,1,0001
1480;line;-;UP;Joe Henderson;-;-;-;-;-;-;28;13;4,2,4,2,2,3,4,3,2,2,2,2,2;0111,11,1011,01,01,011,1101,111,11,11,11,11,11
1481;line;-;MEDIUM UP;Miles Davis;-;-;-;-;-;-;12;7;1,1,4,2,2,2,1;1,1,1101,11,11,11,1
1482;line;-;MEDIUM;Lee Konitz;-;-;-;-;-;-;48;22;2,2,2,2,4,2,2,2,2,2,2,2,2,6,6,8,4,6,8,1,2,6;11,11,01,01,0111,11,11,11,11,11,11,11,11,010011,010011,01010101,0111,010001,01000011,1,11,001001
1483;lick;-;MEDIUM UP;Eric Dolphy;-;-;-;-;-;-;19;11;4,2,2,2,1,1,2,4,2,2,6;0110,11,01,11,1,1,01,1001,11,01,101011
1484;lick;-;MEDIUM;Branford Marsalis;-;-;-;-;-;-;42;27;2,4,4,1,1,2,2,4,2,2,2,3,2,2,3,2,2,2,1,2,2,1,2,1,1,1,4;11,0001,1100,1,1,01,11,1001,11,11,01,011,01,11,111,11,11,11,1,11,11,1,01,1,1,1,0001
1485;line;-;UP;Joe Henderson;-;-;-;-;-;-;12;7;3,2,2,2,1,2,2;111,11,11,01,1,01,11
1486;lick;-;MEDIUM;Woody Shaw;-;-;-;-;-;-;9;5;2,1,4,4,4;11,1,0111,0011,0001
1487;lick;-;UP;Stan Getz;-;-;-;-;-;-;12;8;2,2,2,2,2,2,2,2;11,01,01,01,11,01,11,11
1488;line;-;MEDIUM;Pepper Adams;-;-;-;-;-;-;34;10;6,6,6,6,4,4,1,1,6,1,8;111011,000111,101111,010111,1111,1011,1,0,101111,0,01010101
1489;lick;-;UP;Michael Brecker;-;-;-;-;-;-;2;2;1,1;1,1
1490;lick;-;UP;Joe Henderson;-;-;-;-;-;-;6;4;1,4,2,4;1,0001,01,0111
1491;lick;-;UP;Miles Davis;-;-;-;-;-;-;6;4;1,1,2,2;1,1,11,11
1492;lick;-;UP;Chet Baker;-;-;-;-;-;-;19;14;2,2,2,4,2,4,2,2,1,1,2,2,2,2;01,11,11,0001,01,1001,11,01,1,1,01,01,01,11
1493;line;-;UP;Sonny Rollins;-;-;-;-;-;-;24;11;2,2,2,2,2,5,4,1,2,2,2;01,11,11,11,11,11111,1110,1,11,11,11
1494;line;-;MEDIUM UP;David Liebman;-;-;-;-;-;-;25;8;4,6,6,3,4,4,6,2;0011,011011,111111,011,1111,1111,100001,01
1495;lick;-;UP;Fats Navarro;-;-;-;-;-;-;6;4;2,2,1,1;11,11,1,1
1496;lick;-;UP;Charlie Parker;-;-;-;-;-;-;6;4;1,2,2,2;1,11,11,01
1497;lick;-;MEDIUM UP;Miles Davis;-;-;-;-;-;-;3;2;1,4;1,1001
1498;line;-;MEDIUM UP;Paul Desmond;-;-;-;-;-;-;9;6;1,1,1,2,2,3;1,1,1,11,11,011
1499;line;-;UP;Herbie Hancock;-;-;-;-;-;-;11;6;3,1,3,3,2,2;111,1,110,011,11,01
1500;lick;-;UP;John Coltrane;-;-;-;-;-;-;17;11;2,2,4,2,1,2,2,1,1,2,3;11,01,1011,01,1,11,11,1,1,01,110
1501;line;-;UP;Red Garland;-;-;-;-;-;-;41;23;2,2,2,1,4,2,2,2,2,2,2,2,2,3,1,2,2,1,2,2,3,1,2;11,11,11,1,1001,11,11,01,11,11,11,11,01,011,1,11,11,1,11,11,111,1,11
1502;line;-;MEDIUM UP;Kenny Wheeler;-;-;-;-;-;-;18;8;3,3,3,3,3,6,2,4;011,011,111,111,111,010101,01,0001
1503;line;-;UP;John Coltrane;-;-;-;-;-;-;11;5;3,2,2,2,2;111,11,11,11,11
1504;line;-;UP;Don Byas;-;-;-;-;-;-;60;33;2,2,1,2,1,2,4,2,2,2,2,2,2,2,1,1,2,2,2,4,2,2,3,2,4,2,2,2,2,2,1,1,2;11,11,1,11,1,11,0111,11,11,11,11,11,11,11,1,1,01,01,11,1011,11,11,110,11,0111,11,01,11,11,11,1,1,11
1505;lick;-;UP;Phil Woods;-;-;-;-;-;-;10;7;2,1,2,1,4,1,1;11,1,11,1,0011,1,1
1506;lick;-;MEDIUM UP;Cannonball Adderley;-;-;-;-;-;-;6;4;1,4,3,2;1,0001,110,11
1507;lick;-;MEDIUM UP;Sonny Rollins;-;-;-;-;-;-;10;8;1,4,1,1,1,1,1,1;1,1110,1,1,1,1,1,1
1508;line;-;MEDIUM UP;David Liebman;-;-;-;-;-;-;21;7;8,6,4,4,4,4,6;11111111,100101,1100,0011,1011,0001,010001
1509;lick;-;UP;Lee Konitz;-;-;-;-;-;-;13;9;1,1,1,1,4,2,2,4,2;1,1,1,1,1011,01,11,0001,11
1510;lick;-;MEDIUM;Dexter Gordon;-;-;-;-;-;-;5;3;1,1,3;1,1,111
1511;lick;-;UP;Pepper Adams;-;-;-;-;-;-;6;4;2,4,4,2;11,0001,0001,11
1512;line;-;UP;John Coltrane;-;-;-;-;-;-;13;7;2,2,1,6,2,2,2;11,11,1,001011,11,01,11
1513;line;-;UP;Steve Lacy;-;-;-;-;-;-;56;32;1,2,2,2,2,2,2,2,2,1,3,1,4,2,2,3,1,1,1,4,2,2,2,4,2,1,3,1,1,2,2,2;1,11,11,11,11,11,11,01,11,1,011,1,1011,11,11,111,1,1,1,1001,11,11,11,1001,11,1,011,1,1,11,11,11
1514;line;-;UP;John Coltrane;-;-;-;-;-;-;22;12;1,2,2,2,2,2,2,2,2,2,2,2;1,01,11,11,11,11,11,11,11,11,11,11
1515;lick;-;UP;Herbie Hancock;-;-;-;-;-;-;16;9;2,2,2,1,2,3,2,2,2;11,11,11,1,11,011,01,11,11
1516;lick;-;MEDIUM UP;Don Ellis;-;-;-;-;-;-;5;3;2,1,3;11,1,011
1517;lick;-;UP;J.J. Johnson;-;-;-;-;-;-;4;4;1,2,1,2;1,01,1,01
1518;line;-;UP;Sonny Rollins;-;-;-;-;-;-;48;25;1,2,2,2,4,2,2,3,2,2,2,2,2,4,2,2,1,2,2,4,2,2,2,2,2;1,01,11,11,1011,11,11,111,11,11,11,01,11,1011,11,01,1,11,11,1011,11,01,11,11,11
1519;lick;-;MEDIUM SLOW;Steve Lacy;-;-;-;-;-;-;4;3;4,2,1;1001,01,1
1520;line;-;UP;David Liebman;-;-;-;-;-;-;26;14;2,2,2,4,2,2,2,2,1,4,2,2,2,1;11,11,11,1111,11,11,11,11,1,0001,11,11,01,1
1521;lick;-;MEDIUM UP;Cannonball Adderley;-;-;-;-;-;-;10;4;4,6,6,4;1001,010111,010001,1001
1522;line;-;MEDIUM UP;Kenny Dorham;-;-;-;-;-;-;49;20;3,2,2,2,2,4,5,2,4,6,6,3,2,2,2,4,2,6,6,6;011,11,11,01,11,0001,10111,11,0001,011110,010011,011,11,11,11,1111,11,001001,110111,111100
1523;lick;-;UP;Branford Marsalis;-;-;-;-;-;-;19;13;1,1,1,1,3,4,4,1,2,2,4,2,2;1,1,1,1,011,0001,0001,1,11,11,1101,11,01
1524;line;-;UP;Michael Brecker;-;-;-;-;-;-;40;16;2,2,1,3,3,2,3,3,4,4,2,3,5,4,2,2;11,11,1,110,111,11,111,011,1011,1011,11,111,11111,1011,11,11
1525;lick;-;MEDIUM UP;Woody Shaw;-;-;-;-;-;-;9;6;2,2,2,2,2,2;01,11,11,01,01,11
1526;line;-;UP;Branford Marsalis;-;-;-;-;-;-;22;11;2,2,3,2,3,2,2,2,3,2,2;11,11,111,01,011,11,01,11,111,11,11
1527;lick;-;UP;David Liebman;-;-;-;-;-;-;48;31;2,2,4,4,2,2,4,4,2,2,4,2,1,2,1,4,4,1,2,2,1,1,1,2,2,3,2,2,3,2,2;01,11,0001,1101,11,11,1110,0001,11,11,1001,11,1,01,1,0001,1100,1,11,01,1,1,1,01,01,011,01,11,110,01,11
1528;lick;-;UP;John Coltrane;-;-;-;-;-;-;9;4;2,2,2,3;11,11,11,111
1529;lick;-;MEDIUM;Wayne Shorter;-;-;-;-;-;-;2;1;3;110
1530;lick;-;UP;Hank Mobley;-;-;-;-;-;-;8;6;4,6,2,1,4,2;0011,000001,11,1,0001,01
1531;lick;-;UP;Joe Lovano;-;-;-;-;-;-;10;8;1,1,2,1,4,1,2,4;1,1,01,1,0001,1,11,1100
1532;lick;-;MEDIUM SLOW;Michael Brecker;-;-;-;-;-;-;34;9;3,8,4,4,4,8,4,6,8;111,11010011,1100,1111,0111,11010011,0111,011001,00111111
1533;lick;-;MEDIUM UP;Joe Henderson;-;-;-;-;-;-;12;6;4,4,4,4,4,2;0011,0011,1101,0011,0001,11
1534;lick;-;MEDIUM;David Murray;-;-;-;-;-;-;6;3;2,2,2;11,11,11
1535;line;-;UP;Art Pepper;-;-;-;-;-;-;11;5;2,2,2,4,6;01,11,11,0001,110111
1536;line;-;UP;John Coltrane;-;-;-;-;-;-;31;15;2,2,3,4,4,2,4,2,2,2,1,4,3,3,2;01,11,011,1101,1001,11,0111,11,11,11,1,0110,011,111,11
1537;lick;-;UP;John Coltrane;-;-;-;-;-;-;4;2;2,2;11,11
1538;lick;-;MEDIUM;Dexter Gordon;-;-;-;-;-;-;32;10;2,4,2,4,4,2,6,10,8,4;11,1111,11,1111,1011,11,010111,0000101001,01000111,1111
1539;line;-;UP;Charlie Parker;-;-;-;-;-;-;27;12;2,2,4,4,1,2,4,2,2,4,3,2;11,11,1110,1101,1,11,0110,11,11,1110,111,11
1540;lick;-;MEDIUM;Zoot Sims;-;-;-;-;-;-;10;6;2,1,1,6,2,1;11,1,1,010111,01,1
1541;lick;-;UP;Phil Woods;-;-;-;-;-;-;20;13;2,4,2,2,2,1,3,1,1,1,2,4,2;11,1100,11,11,01,1,110,1,1,1,11,0001,11
1542;lick;-;UP;David Liebman;-;-;-;-;-;-;5;3;2,2,4;01,01,1101
1543;line;-;UP;John Coltrane;-;-;-;-;-;-;30;17;2,2,3,4,3,2,2,3,2,1,2,2,2,2,2,3,4;11,11,011,0001,011,11,11,011,11,1,01,11,01,11,01,011,1011
1544;line;-;UP;Kenny Dorham;-;-;-;-;-;-;31;18;2,1,1,1,3,2,2,2,2,2,2,2,2,2,4,1,1,2;01,1,1,1,011,11,11,11,11,11,11,11,11,11,0111,1,1,11
1545;line;-;MEDIUM UP;Wynton Marsalis;-;-;-;-;-;-;40;18;4,2,5,2,4,8,6,2,6,4,2,2,2,2,2,2,4,2;1011,11,01001,01,0001,11100111,001001,11,111111,1011,01,11,11,11,01,11,0001,01
1546;lick;-;MEDIUM UP;Fats Navarro;-;-;-;-;-;-;11;6;2,2,2,2,2,1;11,11,11,11,11,1
1547;lick;-;UP;Gerry Mulligan;-;-;-;-;-;-;11;9;1,1,1,1,2,2,1,1,2;1,1,1,1,01,11,1,1,11
1548;lick;-;UP;Kenny Dorham;-;-;-;-;-;-;5;3;2,4,1;01,1110,1
1549;lick;-;UP;Zoot Sims;-;-;-;-;-;-;27;19;2,2,1,2,2,3,2,2,2,1,1,1,1,2,1,1,2,2,1;11,11,1,01,11,011,11,01,01,1,1,1,1,11,1,1,11,11,1
